Rank,Team,Best,Latest,Time,IsStudent
1,1: takonomura,51957,58207,17:58:46,学生
2,957: 第9西東京市,31035,55003,17:54:11,
3,307: // TODO: あとでちゃんとしたチーム名になおす,36765,52150,17:58:10,
4,7: 都営三田線東急目黒線直通急行日吉行,38722,48615,17:58:13,
5,937: ぱかぱかアルパカ,38053,43888,17:51:06,
6,177: チーム8年目,22192,41281,17:55:10,
7,157: 3年A組 大前先生,26805,39957,17:58:42,
8,385: 最上川,26339,37127,17:52:14,学生
9,651: Mr.Takeda,27440,37100,17:58:06,
10,37: 焼肉ジャンボチキン,33997,36810,17:51:02,
11,950: 白金動物園,23679,36300,17:50:11,
12,125: team k,14138,36218,17:56:38,学生
13,368: pikopiko,34203,35076,17:49:36,
14,290: IQ1,23607,34964,17:59:08,
15,373: amago,34688,34259,17:59:50,
16,110: かに,16360,32699,17:52:58,
17,350: negainoido,10107,31258,17:58:21,
18,70: たつや,29887,31013,17:53:29,
19,102: (´・ω・｀),39303,31002,17:57:28,
20,112: KatoMegumi,7720,30164,17:58:03,学生
21,114: ファイトファイトファイファイビーチ,23938,29846,17:54:06,
22,932: isucon_friends,29952,29811,17:55:38,
23,29: FetchDecodeExecWrite,19820,29629,17:59:27,
24,949: 4,20631,29587,17:59:11,
25,948: ウー馬場ーイーツ・ザ・ファイナル,21654,29386,17:53:03,
26,938: ミレニアムサイエンススクール,25618,28875,17:42:26,
27,665: tak,8935,28677,17:56:36,学生
28,240: II,17528,28582,17:53:52,学生
29,280: overcached!,22440,28156,17:57:03,
30,360: うどんきれいなGo,26149,28148,17:54:48,
31,936: SNE,27361,26988,17:47:58,
32,339: tetora,22143,26178,17:59:45,学生
33,976: 即興パフォーマンス2024（仮）,16903,25411,17:53:57,
34,847: kiai guided optimization,22444,24925,17:55:28,
35,993: iXi,16744,24766,17:53:52,
36,135: YAKINIKU PONGA Fan Club (案),12531,24691,17:50:59,
37,120: Maxif.,15728,24640,17:56:28,学生
38,351: 黒酢唐揚げサン丼,22809,24464,17:56:03,
39,311: DrinkAndRoot,22676,24432,17:59:34,
40,119: team rdk,21755,24028,17:55:08,
41,160: 流れ弾,15925,23584,17:58:45,
42,80: yugo,16234,23524,17:57:26,
43,427: 32階,20979,23324,17:57:52,
44,209: Dorayaki,14903,22823,17:59:22,学生
45,9: ultra_fast_gopher,19064,22776,17:55:40,
46,74: 上場承認おめでとうございます！,19305,22743,17:47:23,
47,964: 織時屋,13202,22574,17:56:06,
48,608: fuppy,28411,22413,17:56:15,
49,939: リアクティブ二子玉川～♪,8040,22396,17:58:04,学生
50,692: rooster,14690,22301,17:56:45,
51,399: cc4,16614,22274,17:50:50,
52,123: karamaru,20909,22225,17:51:50,
53,814: 疎通なし,17318,22118,17:55:07,
54,327: なかがわせいりゅう,8618,22103,17:57:26,
55,323: ★☆日本一のmember☆★,27025,21858,17:59:34,
56,448: Yeeeeeeeh,18639,21753,17:56:57,
57,999: チーム洋風海老名コミック,19527,21471,17:51:42,
58,329: kb,13728,21408,17:58:12,
59,525: 油山牧場,16894,21123,17:58:37,
60,336: koala,14178,20617,17:49:58,
61,406: ex-aifuler,8438,20401,17:58:06,
62,590: てんぽらりーねーむ,9477,19996,17:59:24,
63,79: 掃除当番,17751,19967,17:56:18,
64,811: Haste Makes Waste,16178,19374,17:58:03,
65,61: rocky,12832,19301,17:57:02,
66,19: くすサポISUCON部,15614,19290,17:48:03,
67,12: うおーっ,11923,19256,17:58:53,
68,116: さくたんさん,5533,19252,17:58:57,
69,432: ft_isucon,24096,19195,17:54:04,学生
70,272: HCG,11477,18935,17:56:43,
71,17: a,15147,18689,17:59:08,
72,104: 俺らのlatestMap,17243,18610,17:59:48,
73,952: なんかいい感じではやいやつ,16329,18461,17:58:54,
74,398: 百万円ドリブン,17455,17983,17:52:33,
75,861: Tofu-Company,11140,17905,17:58:42,
76,42: チームオガヨシ,13358,17782,17:46:46,
77,78: しすてむず,15726,17775,17:28:19,
78,603: sengine-xyz,17599,17730,17:57:54,
79,246: ぞい,15886,17625,17:57:58,
80,53: にゃーん,15283,17347,17:58:06,学生
81,124: ツナ缶,7752,17110,17:59:53,
82,869: 株式会社イーグルジャンプ秋葉原ラボ,13759,17089,17:58:39,
83,222: morupoppo,10213,16983,17:57:43,
84,211: avengers,10557,16794,17:58:25,
85,49: ファストフードバカメニュー同好会,14246,16759,17:55:11,
86,897: yukiend,8236,16670,17:55:22,
87,669: soba,12271,16622,17:59:19,
88,935: daku10,16203,16553,17:58:53,
89,331: westlabOB,16009,16453,17:59:37,
90,868: しんせん,18473,16445,17:58:50,
91,775: Cross Incubator,11456,16357,17:57:05,
92,67: swamp,19966,16224,17:57:26,
93,989: 温かみのあるシェルスクリプト同好会2,16209,16174,17:58:30,
94,632: o,13650,16152,17:49:39,
95,712: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ0ZWFtIGp3dCIsInRvZG8iOiJjYXJyb3QscG90YXRvLG9uaW9uLHBvcmsifQ.3GLjAe5ekYhmZO4BrGpvz7p672ylehgYOoao12cxK54,16097,16109,17:50:03,
96,546: 王立加速機,14956,16017,17:49:58,
97,193: hazumi,16424,15826,17:55:11,
98,41: hoge-times,16091,15543,17:56:22,
99,32: 日々楽しく開発しています,9540,15532,17:25:31,
100,487: HEAVIEST OBJECTS IN THE UNIVERSE (./target),7919,15306,17:51:28,
101,769: damnation,6758,15290,17:59:48,
102,107: 会社の犬,10391,15059,17:56:39,
103,980: カラアゲネイティブ,13395,14987,17:58:57,
104,519: 沖野んち,10345,14877,17:55:25,
105,557: CatBoys,12721,14847,17:56:41,
106,567: kuwagata,8748,14833,17:55:30,
107,2: ムーザルペッパー,11704,14783,17:56:01,
108,953: dbgofy,9644,14742,17:55:26,
109,165: appo,14383,14579,17:58:34,
110,382: BLTsandwich,10124,14337,17:59:58,
111,518: anonymous998,14955,14194,17:59:30,
112,194: 絶対優勝するんだから！,13935,14091,17:52:46,
113,322: ISUラダファミリア,16166,14066,17:55:28,
114,445: shinjuku,13242,14006,17:58:08,
115,484: ハリー・ポッターと賢者のEC2,8720,13907,17:51:09,
116,649: bamboooo,15085,13817,17:57:57,
117,781: ホッピーセット,7485,13804,17:58:41,
118,344: Maximum-Y.N.K.S,13341,13766,17:49:24,学生
119,967: たんぽぽの上の刺身,13170,13483,17:53:05,
120,945: ジャワカレー中辛,7211,13311,17:55:17,
121,752: 行けたら行く,11573,13287,17:57:54,
122,118: すぷりーむ！,5840,13263,17:55:20,学生
123,103: ちゅら太郎ズ,7231,13222,17:45:55,
124,145: blue最高！,15833,13188,17:54:43,
125,941: 紙の保険証,13586,13033,17:56:08,
126,304: foody,16875,13029,17:57:04,
127,734: urcharn,6586,13014,17:46:05,学生
128,540: 聖なるアラートヶ丘,14958,12981,17:49:22,
129,974: カフェインと豆の伝道者,12886,12903,17:50:00,
130,192: ponponpain,5966,12897,17:54:50,
131,47: ゆね～る,6962,12870,17:56:30,学生
132,531: ECF,8298,12790,17:53:19,
133,172: narinari,9294,12728,17:55:56,
134,131: MML,4339,12549,17:51:31,学生
135,225: ktc-isucon-bu,6563,12514,17:55:44,
136,72: わかんないッスー!!!,10726,12488,17:59:49,
137,378: チーム名決めないと,9054,12452,17:50:56,
138,220: うぇいぶにゃいだーず,8395,12443,17:42:44,
139,51: チームV,12470,12443,17:58:51,
140,188: Team GI,10067,12306,17:56:41,
141,77: cktf9,13536,12196,17:59:57,
142,757: いい感じにスピードアップし隊,7655,12192,17:56:14,
143,959: .dat,11175,11923,17:57:21,
144,472: ヨシヤマタロウ,12373,11801,17:52:42,学生
145,353: 後で名前を考える,9725,11791,17:56:06,
146,196: ながらうし,8341,11642,17:55:57,
147,92: TF,3341,11609,17:56:42,
148,106: nanase,9805,11598,17:57:35,
149,424: MVELers,4940,11547,17:58:52,
150,645: 痛風予備軍,13447,11527,17:51:28,
151,117: たらればガムテープ支店,10336,11471,17:57:28,学生
152,724: 大崎ところてんず,4514,11423,17:50:45,
153,152: 推しのGO,9851,11355,17:51:22,
154,374: tohokud,10674,11272,17:59:40,
155,416: Paca,4378,11246,17:57:34,学生
156,6: s,10322,11116,17:55:58,
157,673: live_ikitai,7308,11031,17:59:52,
158,610: DDD,5497,10928,17:51:44,
159,905: Zero Knowledge,12283,10914,17:54:30,
160,276: HRZN,11084,10911,17:28:45,
161,212: まか,10229,10883,17:56:35,
162,698: ¥¥¥¥¥¥,6776,10784,17:55:01,
163,689: こういう時の命名センス絶望的だけど聞くかい？ 決めてもらっていいんだぜ,8300,10764,17:52:24,
164,467: ソイジョイ,11107,10471,17:41:40,
165,803: 完璧な一日,8791,10285,17:58:36,
166,541: サーバーときどき猫、時々かたつむり,9798,10156,17:51:45,
167,5: メンタイココア,8984,10086,17:56:14,
168,111: ayataka,10607,10037,17:33:58,
169,429: Nozomi,5594,9995,17:57:09,
170,656: InfraNinja,5664,9966,17:56:18,
171,234: 麺とコードのデバッグ隊,5125,9884,17:54:19,
172,241: デュアル同好会,8895,9812,17:40:17,
173,778: tmp-zsk,4775,9681,17:45:17,
174,95: pythonista,16207,9655,17:58:43,
175,363: 快適PandAScript,9769,9645,17:59:10,学生
176,63: ラッキー小杉乗り過ごし,5872,9537,17:56:35,学生
177,644: ともやんぴー,7540,9489,17:57:56,
178,833: 松木家,7766,9460,17:57:32,
179,346: ownma,9615,9263,17:59:27,
180,204: TeamYVR,9140,9239,17:54:27,
181,297: msnk (monaka),3100,9222,17:58:56,
182,59: tokiwa,9330,9213,17:58:32,
183,394: SchickSchickSchick,7907,9201,17:57:06,
184,615: 滑り込みセーフ,1481,9183,17:55:45,
185,981: 筋肉と型は裏切らない,8522,9088,17:46:39,
186,15: ISU娘りたーんず,4501,8965,17:48:19,
187,386: 日吉の民,7239,8896,17:58:14,
188,3: RPC,9160,8878,17:55:36,学生
189,818: 忘却のビアガーデン～2024～,8616,8857,17:57:03,
190,38: OSK,10059,8820,17:58:18,
191,488: Finatext,8832,8773,17:58:12,
192,83: yuruisucon,8940,8750,17:59:36,
193,648: yumiyao,8917,8725,17:54:50,
194,239: ポテナゲ大,8501,8709,17:58:04,
195,259: オニコンブ,12985,8703,17:58:19,
196,560: aderia,8407,8700,17:57:42,
197,473: 大阪や はよ画面開けんかい,12784,8584,17:59:27,
198,822: ドデリド2,3280,8566,17:52:18,
199,848: mnv_shadow_beast,8505,8481,17:56:49,
200,258: mtm,11444,8472,17:54:48,
201,129: afs,8179,8470,17:37:29,
202,22: guts,7891,8462,17:53:42,
203,317: 居眠り遠征隊,8680,8430,17:54:14,
204,101: KOIL507,7924,8414,17:58:27,
205,266: きつね・つきみ・てんぷら,10447,8413,17:52:38,
206,954: かにえんがわはもなべ,7771,8357,17:57:35,
207,26: SMTP,8243,8347,17:55:49,
208,36: FPaS,8208,8331,17:58:52,
209,867: アホウドリの迷信,12048,8320,17:57:55,
210,52: 慎太郎,7977,8319,17:42:26,
211,821: 地下四階から目薬,5215,8312,17:59:01,
212,507: SysCa,5864,8304,17:56:53,
213,864: ラーミョンモコガレ,8397,8256,17:55:56,
214,191: だじゃれハッピー,8174,8216,17:39:25,
215,301: はやぶさ is comming,6699,8210,17:50:43,
216,10: ichigen,7163,8197,17:59:23,
217,255: ICE-CREAM-D-SANDWITCH,10156,8190,17:59:13,
218,604: lovelily,7669,8156,17:47:01,
219,203: hidekiy,7934,8118,17:59:12,
220,599: ラストマイル,8381,8105,17:58:19,
221,164: funwarichair,7510,8099,17:57:37,
222,349: 原人,6026,8097,17:56:12,
223,458: ug,8596,8096,17:44:29,
224,493: すたぁらいと,8576,8092,17:56:43,
225,153: floret,9421,8079,17:55:17,
226,166: 公立はこだて市営地下鉄,9542,8079,17:56:57,学生
227,314: 琉球覇王いな卍@喧嘩無双,6861,8033,17:30:48,
228,3311:54:00,8618,7966,17:56:32,
229,69: NorthGate,6014,7949,17:53:52,
230,693: not int must be str,5106,7948,17:59:07,
231,251: チーム山田,5110,7899,17:55:43,
232,776: KSG,6884,7891,17:45:02,
233,23: MobileEngineers,9353,7878,17:57:42,
234,413: shiitake,6719,7868,17:59:09,
235,82: あたまのわるいひと,7346,7774,17:56:49,
236,702: デビエ,8075,7774,17:57:05,
237,155: ツチノコ,3509,7758,17:31:01,
238,468: ぽ,6206,7714,17:59:45,
239,33: tmp,7033,7706,17:41:01,
240,348: パピルス,6496,7687,17:58:23,学生
241,35: 白金の妖怪,7173,7686,17:57:49,
242,248: パリパリ餃子,4617,7663,17:45:24,
243,379: Carcinization ≧(゜∀ ゜)≦,1435,7660,17:59:21,
244,637: dgbfgbgfdbfd,9540,7654,17:59:36,
245,708: novasto,6736,7635,17:59:57,
246,315: comiso,7435,7624,17:53:52,
247,108: 高速かたつむり,7193,7611,17:34:24,
248,142: たまいたち,6253,7602,17:55:41,
249,14: Sの意志を継ぐ者,5366,7578,17:57:38,
250,534: rakko,5164,7571,17:52:15,
251,274: Create Speedy Logic,6275,7485,17:57:47,
252,505: cool_server,13339,7473,17:55:01,
253,554: 雪んこ茶房,5723,7447,17:50:14,
254,113: slasher,1311,7395,17:56:23,
255,699: パンダさん,4830,7393,17:57:34,
256,593: やえすのスワンレイク,8279,7369,17:58:35,
257,904: さばかんっ！,7013,7354,17:52:00,
258,271: ぼーぼぼぼ,5870,7292,17:57:13,
259,679: アスタキサンチン,5867,7268,17:45:57,
260,48: Groundhog Day,8471,7227,17:55:50,
261,491: go2042,7812,7195,17:22:05,
262,178: 香る明治屋ガロファロ,7414,7187,17:55:05,
263,626: hedwig,6532,7134,17:38:13,学生
264,358: ark,7200,7094,17:54:12,学生
265,181: 白線,7439,7037,17:52:23,
266,171: kataokatsuki,6632,6994,17:58:56,
267,676: suburi,5729,6877,17:59:05,
268,532: kanikani,7307,6855,17:58:35,
269,85: エッセンシャルガチ草ﾄﾒｨﾄｩ,7100,6827,17:54:59,
270,130: もち,4057,6821,17:58:09,学生
271,454: アオリイカ,7219,6816,17:52:24,
272,996: buchy,5348,6803,17:58:28,
273,100: thhisu,1716,6765,17:45:46,
274,537: チームもとおか,5165,6754,17:52:14,
275,176: 01J8HTRXXGFMEG3J5YCMYNKCHS,7825,6748,17:59:14,
276,512: 運用週,1800,6674,17:38:17,
277,132: MONOS,6498,6659,17:50:52,学生
278,684: 銀ヤンマ,5445,6645,17:57:01,
279,133: あかべこ,3834,6604,17:46:12,
280,738: R03,3132,6567,17:56:53,
281,401: R-Bronze,6236,6555,17:59:33,
282,141: a-company,7195,6512,17:54:14,学生
283,372: たこたこ,3758,6494,17:52:24,
284,906: RENCON,8243,6485,17:47:02,
285,622: サモエド,1186,6479,17:57:36,
286,837: rarara~,6454,6435,17:59:08,
287,482: OC,5573,6420,17:58:47,
288,719: ラーメンハゲ,4685,6382,17:57:56,
289,486: カフェイン摂取ねこ,6382,6380,17:38:37,
290,419: 毎日が最終回,4409,6371,17:50:34,
291,442: smirror,7259,6342,17:55:23,
292,409: system2ka,6377,6286,17:58:19,
293,958: エスタンシア,8186,6273,17:56:59,
294,60: 千駄ヶ谷データセンター,6422,6271,17:45:53,
295,807: redstone,6417,6203,16:29:31,
296,68: indo8,3627,6114,17:56:48,
297,411: ガーディアンズv,4109,6102,17:43:34,
298,287: 契約イージー,3555,6069,17:53:01,
299,782: Zakkin,7874,6040,17:52:55,
300,650: 賞金で借金返済,5144,6033,17:58:16,
301,397: CONAC,6433,6013,17:56:28,
302,202: bs5,5269,5964,17:59:46,
303,838: BTM,6476,5943,17:50:01,
304,175: bignome,6048,5920,17:52:21,
305,431: nabemaru,6358,5906,17:57:53,
306,371: 鷹の肩ガタガタ,6549,5898,17:58:56,
307,962: 最速の鯖缶,4346,5853,17:56:53,
308,369: CATL,5944,5851,17:59:07,
309,434: fukuoka,5913,5836,17:43:55,
310,634: 塩昆布,5777,5780,17:55:41,
311,365: わびさび,5966,5725,17:59:29,学生
312,198: いちまる,3531,5703,17:54:44,
313,535: ak,5691,5691,16:01:24,
314,300: チーム秘密会議,6497,5598,17:54:56,
315,414: mettametta,5408,5591,17:32:16,
316,139: BigTreeDeer,4973,5583,17:56:31,
317,876: from北海道,1146,5570,17:54:33,
318,219: tsuzuki-takaaki,5882,5568,17:57:48,
319,144: コーカサスオオカブト,3476,5530,17:52:43,
320,396: ハヤブサの流れ星,2503,5529,17:57:41,
321,347: shibukazu,8972,5527,17:59:23,学生
322,768: 麻婆豆腐,5153,5502,17:50:47,
323,879: Iris,5711,5499,17:59:12,
324,942: Mirrorman,2667,5452,17:55:43,
325,464: ShareHaimu,5176,5449,17:55:49,学生
326,328: ジェンガ,6238,5442,17:47:58,
327,224: メディカルホース,6153,5433,17:58:36,
328,759: りゅうさん,4629,5429,17:55:48,学生
329,435: torima,7745,5421,17:57:31,学生
330,503: mk,8011,5417,17:36:02,
331,703: Ads,5101,5375,17:58:44,
332,965: ゆるっと,4344,5270,17:58:14,
333,646: 豚汁補充,6946,5267,17:59:33,学生
334,180: oasis,4911,5263,17:55:27,
335,354: ケーキ屋さん見習い,4964,5255,17:59:43,
336,561: 田端商工会議所,5423,5220,17:32:08,
337,618: 産技三上組,4981,5196,17:48:30,
338,206: NAT越え同好会,5678,5187,17:13:58,
339,542: SDD(睡眠駆動開発),5251,5185,17:46:26,
340,94: がブリチキン。,4703,5162,17:51:01,
341,641: じぶりん王国,1992,5135,17:58:17,
342,510: SkyLab,5199,5126,17:58:50,
343,619: ラテドラムダンダン,4016,5092,17:58:48,
344,786: 猫かわいい,5654,5068,17:48:08,
345,609: 情報実験第5,5196,5062,17:56:24,
346,836: CaffeinEngine,2618,5008,17:57:16,学生
347,687: Game Changer,5062,5002,17:57:05,
348,306: reg7777,5562,4990,17:08:35,学生
349,418: 昼飯はカロリーメイト,4905,4976,17:58:41,
350,670: Node Nomads,2911,4973,17:59:49,
351,960: 天下n品,5259,4918,17:57:58,
352,319: 日中韓椅子痕研究会,4967,4891,17:57:37,
353,295: let’s go joji,3620,4784,17:58:52,
354,671: JSON・ボーヒーズ,4997,4748,17:55:02,
355,717: 箱根温泉同好会,4956,4713,17:50:08,
356,402: 23poker,4677,4701,17:54:41,
357,223: kiroku,4925,4660,17:59:49,
358,21: AnkenDU,6323,4648,17:59:35,
359,908: チームブリアンション,5123,4639,17:44:22,
360,355: mISU53rd,3969,4637,17:56:46,
361,969: K3,4569,4631,17:58:32,
362,332: はにわコロッケ,8812,4628,17:59:46,
363,506: 3DS,2979,4549,17:58:06,
364,606: イケイケベンチャー,2997,4541,17:59:59,
365,168: :thinking_face:,5623,4505,17:58:45,
366,524: hoyoyoyo,4559,4495,17:52:26,
367,968: 漆黒のすぐちむ,4646,4452,17:58:13,
368,345: Astucle,3806,4382,17:57:10,
369,530: Team Spark,4805,4378,17:55:40,
370,84: ぽえぽえごー（仮）,4528,4365,17:54:44,
371,799: らんち,4466,4341,17:50:45,
